Compound,eta_cation,min_eta_anion,max_eta_anion,mean_eta_anion,std-dev_eta_anion,min_diff_eta,max_diff_eta,mean_diff_eta,std-dev_diff_eta,mean_eta_both,geom-mean_eta_both,eta_all,Formation_energy
OCN-NCS-Be,67.8,4.0,4.8,4.4,0.3999999999999999,63.0,63.8,63.4,0.3999999999999986,25.53333333333333,10.918851869790013,"[67.8, 4.8, 4.0]",-0.050772923899999996
OCN-NCS-Ca,19.7,4.0,4.8,4.4,0.3999999999999999,14.899999999999999,15.7,15.299999999999999,0.40000000000000036,9.5,7.231956717834265,"[19.7, 4.8, 4.0]",-0.6528362724
OCN-NCS-Cd,10.3,4.0,4.8,4.4,0.3999999999999999,5.500000000000001,6.300000000000001,5.9,0.3999999999999999,6.366666666666667,5.826120791045223,"[10.3, 4.8, 4.0]",0.00017998900000000003
OCN-NCS-Co,8.2,4.0,4.8,4.4,0.3999999999999999,3.3999999999999995,4.199999999999999,3.7999999999999994,0.3999999999999999,5.666666666666667,5.399725637637979,"[8.2, 4.8, 4.0]",0.1443025561
OCN-NCS-Cu,8.3,4.0,4.8,4.4,0.3999999999999999,3.500000000000001,4.300000000000001,3.900000000000001,0.3999999999999999,5.7,5.4215871134449785,"[8.3, 4.8, 4.0]",0.2180801561
OCN-NCS-Fe,7.3,4.0,4.8,4.4,0.3999999999999999,2.5,3.3,2.9,0.3999999999999999,5.366666666666667,5.194471441761138,"[7.3, 4.8, 4.0]",0.046488659
OCN-NCS-Mg,32.5,4.0,4.8,4.4,0.3999999999999999,27.7,28.5,28.1,0.40000000000000036,13.766666666666666,8.545317363395835,"[32.5, 4.8, 4.0]",-0.4297845067
OCN-NCS-Mn,9.3,4.0,4.8,4.4,0.3999999999999999,4.500000000000001,5.300000000000001,4.9,0.3999999999999999,6.033333333333334,5.631119266547852,"[9.3, 4.8, 4.0]",-0.19454135239999998
OCN-NCS-Ni,8.5,4.0,4.8,4.4,0.3999999999999999,3.7,4.5,4.1,0.3999999999999999,5.766666666666667,5.464788832188937,"[8.5, 4.8, 4.0]",0.0483059833
OCN-NCS-Pb,8.5,4.0,4.8,4.4,0.3999999999999999,3.7,4.5,4.1,0.3999999999999999,5.766666666666667,5.464788832188937,"[8.5, 4.8, 4.0]",0.0190821576
OCN-NCS-Pd,6.8,4.0,4.8,4.4,0.3999999999999999,2.0,2.8,2.4,0.3999999999999999,5.2,5.073060564307998,"[6.8, 4.8, 4.0]",0.2850998161
OCN-NCS-Pt,8.0,4.0,4.8,4.4,0.3999999999999999,3.2,4.0,3.6,0.3999999999999999,5.6000000000000005,5.355463600657356,"[8.0, 4.8, 4.0]",0.4842843447
OCN-NC-Sr,16.3,4.8,5.4,5.1,0.30000000000000027,10.9,11.5,11.2,0.2999999999999998,8.833333333333334,7.503678195821841,"[16.3, 4.8, 5.4]",-0.586086495
OCN-NCS-Sr,16.3,4.0,4.8,4.4,0.3999999999999999,11.5,12.3,11.9,0.40000000000000036,8.366666666666667,6.789372094665965,"[16.3, 4.8, 4.0]",-0.662478611
OCN-NCS-Zn,10.8,4.0,4.8,4.4,0.3999999999999999,6.000000000000001,6.800000000000001,6.4,0.3999999999999999,6.533333333333334,5.9189089783931275,"[10.8, 4.8, 4.0]",-0.0015199139000000002
OCN-NC-Zn,10.8,4.8,5.4,5.1,0.30000000000000027,5.4,6.000000000000001,5.700000000000001,0.30000000000000027,7.0,6.5416341341957045,"[10.8, 4.8, 5.4]",0.19628955829999997
OCN-NO-Ba,12.8,4.6,4.8,4.699999999999999,0.10000000000000009,8.0,8.200000000000001,8.100000000000001,0.10000000000000053,7.400000000000001,6.562505487523755,"[12.8, 4.8, 4.6]",-0.7154465667000001
OCN-NO-Be,67.8,4.6,4.8,4.699999999999999,0.10000000000000009,63.0,63.199999999999996,63.099999999999994,0.09999999999999788,25.73333333333333,11.439567036607704,"[67.8, 4.8, 4.6]",-0.1754052567
OCN-NO-Ca,19.7,4.6,4.8,4.699999999999999,0.10000000000000009,14.899999999999999,15.1,15.0,0.10000000000000053,9.700000000000001,7.576845502264471,"[19.7, 4.8, 4.6]",-0.6707744167
OCN-NO-Cd,10.3,4.6,4.8,4.699999999999999,0.10000000000000009,5.500000000000001,5.700000000000001,5.600000000000001,0.10000000000000009,6.566666666666667,6.103965888294215,"[10.3, 4.8, 4.6]",0.0757615867
OCN-NO-Co,8.2,4.6,4.8,4.699999999999999,0.10000000000000009,3.3999999999999995,3.5999999999999996,3.4999999999999996,0.10000000000000009,5.866666666666667,5.657236140546422,"[8.2, 4.8, 4.6]",0.038132095
