Compound,Formation_energy,E_above_hull,Hessian_eig_min_abs,C11,C22,C66,Thermo_stability_level,Dyn_stability_level,Thermo_Dyn_stability_level
Te-NCO-Nd,-1.086060482,0.561280361,8.535111067395254e-05,47.75793521,47.15293286,16.98600151,M,m,Mm
Te-NCO-Rh,-0.4301695,0.17810019,0.025098875511566924,58.92073208,58.92055243,17.63190457,H,m,Hm
Te-NCO-Ru,-0.186996118,0.37939394,0.019478385156398933,20.29276232,20.29264751,-2.8493749,M,l,Ml
Te-NCO-Sc,-1.03004264,0.582251952,0.017837025822528833,46.646904600000006,46.646904600000006,16.37913005,M,m,Mm
Te-NCO-Sm,-1.103781798,0.5688859,3.680665719055512e-05,45.72703443,45.72686639,16.018222199999997,M,m,Mm
Te-NCO-Y,-1.129283944,0.605851237,0.028589402628509723,45.24597831,45.24597831,15.76631047,M,m,Mm
Te-NC-Rh,0.36974772,0.6327220960000001,0.017009944858785528,53.73041565,53.73006827,18.2077905,L,m,Lm
Te-NC-Ru,0.66805869,0.878683526,0.01715927387672922,17.98026257,17.98016315,-3.64582287,L,l,Ll
Te-NCS-Al,0.052062499000000005,0.735593718,0.005012428505760001,-6.106928,-6.106928,10.60211917,M,l,Ml
Te-NCS-Bi,0.107307607,0.267059818,3.7651387943322346e-05,43.35195208,43.35179278,15.01549096,M,m,Mm
Te-NC-Sc,-0.404165293,0.712222978,0.008907425544371595,53.95477079,53.95444317,21.462222600000004,M,m,Mm
Te-NCS-Ce,-0.628920649,0.38968458,1.940542282629381e-05,33.86287532,33.86287532,14.3933864,M,m,Mm
Te-NCS-Co,0.168537963,0.429686673,0.005247706669716031,71.28554935,71.28554935,24.70607688,M,m,Mm
Te-NCS-Cr,-0.119066179,0.361798494,0.016194460504012544,32.38411939,32.38399173,-0.96897822,M,l,Ml
Te-NCS-Fe,0.146352981,0.421114228,0.0005358831962229651,25.81608465,25.81594477,8.97230213,M,m,Mm
Te-NCS-Ga,0.229654693,0.574123354,0.0062109883615848495,7.08249347,7.08245389,-18.52284011,L,l,Ll
Te-NCS-Gd,-0.636522417,0.243874915,6.861519526617455e-05,31.42848456,31.42848456,9.53817705,M,m,Mm
Te-NCS-In,0.097073203,0.435864766,7.802814194793926e-06,-1.5034643,-1.5034445,-16.5986444,M,l,Ml
Te-NCS-Ir,0.208528673,0.5210054239999999,0.010994363910253435,72.26649232,72.2660864,23.3409181,L,m,Lm
Te-NCS-La,-0.742120595,0.440218981,0.004417659891129543,35.87871125,35.87859229,13.07154499,M,m,Mm
Te-NCS-Lu,-0.621802073,0.508822728,0.0001491095108105542,34.87125045,34.870892100000006,8.8407103,M,m,Mm
Te-NC-Sm,-0.55828981,0.549454433,5.523361708270852e-05,36.60596395,36.60596395,15.03522129,M,m,Mm
Te-NCS-Nd,-0.6663027229999999,0.472710991,3.4654751437479486e-06,46.92994551,46.92994551,17.68334953,M,h,Mh
Te-NCS-Rh,0.030249237,0.394025728,0.0007567733242212737,62.61812424,62.617591000000004,20.99656816,M,m,Mm
Te-NCS-Ru,0.269199285,0.648071429,0.011087784036069534,18.62994738,18.62985426,-15.75833194,L,l,Ll
Te-NCS-Sc,-0.590199433,0.44338404,0.006296612958937687,41.89325399,41.89290467,13.3312669,M,m,Mm
Te-NCS-Sm,-0.678076155,0.459794429,1.2735293857002544e-05,40.93633597,40.93633597,15.87671376,M,m,Mm
Te-NCS-Y,-0.6914495409999999,0.406684249,0.009247622002868446,45.66739015,45.66739015,17.35531609,M,m,Mm
Te-NC-Y,-0.572412485,0.484579766,0.009970520922824182,38.17839707,38.178357399999996,14.87038861,M,m,Mm
Te-NO-Al,-0.195303628,1.517247852,0.017253514387859853,45.05101746,45.05087318,-23.70715107,M,l,Ml
Te-NO-Bi,0.14699959,0.762309427,0.0004164775573413288,3.0876894,3.08767157,-9.43595085,M,l,Ml
