Compound,Class,Bandgap,Bandgap_nature,Kpoints_edge
S-Cl-Fe,Non-metal,0.07940000000000014,Indirect,"(0.238,0.190,0.000)-(0.476,0.048,0.000)"
S-Cl-Ga,Non-metal,2.4381000000000004,Indirect,"(0.000,0.000,0.000)-(0.476,-0.000,0.000)"
S-Cl-Gd,Non-metal,3.8129000000000004,Indirect,"(0.190,0.143,-0.000)-(0.333,-0.000,0.000)"
S-Cl-In,Non-metal,2.7382999999999997,Indirect,"(0.000,0.000,0.000)-(0.476,0.000,0.000)"
S-Cl-Ir,Non-metal,1.7925,Indirect,"(0.095,0.095,0.000)-(0.333,0.333,0.000)"
S-Cl-La,Non-metal,3.5376,Indirect,"(0.476,0.000,0.000)-(0.286,0.000,0.000)"
S-Cl-Lu,Non-metal,3.9408000000000003,Indirect,"(0.333,0.333,0.000)-(0.476,-0.000,0.000)"
S-Cl-Nd,Non-metal,3.6874000000000002,Indirect,"(0.190,0.190,0.000)-(0.238,-0.000,0.000)"
S-Cl-Rh,Non-metal,1.6046999999999998,Indirect,"(0.095,0.048,0.000)-(0.286,0.286,0.000)"
S-Cl-Ru,Metal,0.0,NA,NA
S-Cl-Sc,Non-metal,3.0458,Indirect,"(0.000,0.000,0.000)-(0.476,0.000,0.000)"
S-Cl-Sm,Non-metal,3.7416000000000005,Indirect,"(0.190,0.190,0.000)-(0.286,0.000,0.000)"
S-Cl-Y,Non-metal,3.7759,Indirect,"(0.190,0.143,0.000)-(0.381,0.000,0.000)"
S-CN-Al,Non-metal,1.6095000000000006,Indirect,"(0.000,0.000,0.000)-(0.333,0.333,0.000)"
S-CN-Bi,Non-metal,2.3400000000000003,Indirect,"(0.095,0.048,0.000)-(0.048,0.048,0.000)"
S-CN-Ce,Non-metal,3.1641,Indirect,"(0.143,0.095,0.000)-(0.190,0.143,0.000)"
S-CN-Co,Non-metal,0.9269000000000003,Indirect,"(0.333,-0.000,0.000)-(0.286,0.286,0.000)"
S-CN-Cr,Metal,0.0,NA,NA
S-CN-Fe,Metal,0.0,NA,NA
S-CN-Ga,Non-metal,1.1376,Indirect,"(0.000,0.000,0.000)-(0.333,0.333,0.000)"
S-CN-Gd,Non-metal,3.2011,Indirect,"(0.095,0.095,-0.000)-(0.190,0.143,-0.000)"
S-CN-In,Non-metal,1.8096999999999999,Indirect,"(0.000,0.000,0.000)-(0.333,0.333,0.000)"
S-CN-Ir,Non-metal,1.577,Indirect,"(0.000,0.000,0.000)-(0.429,0.143,0.000)"
S-CN-La,Non-metal,3.4159000000000006,Indirect,"(0.476,-0.000,0.000)-(0.238,-0.000,0.000)"
S-CN-Lu,Non-metal,3.3110999999999997,Indirect,"(0.095,0.095,0.000)-(0.190,0.190,0.000)"
S-CN-Nd,Non-metal,3.1663999999999994,Indirect,"(0.143,0.095,0.000)-(0.190,0.143,0.000)"
S-CN-Rh,Non-metal,1.5027,Indirect,"(0.000,0.000,0.000)-(0.381,0.238,0.000)"
S-CN-Ru,Metal,0.0,NA,NA
S-CN-Sc,Non-metal,2.5498,Indirect,"(0.095,0.095,0.000)-(0.190,0.190,0.000)"
S-CN-Sm,Non-metal,3.0967,Indirect,"(0.095,0.095,0.000)-(0.190,0.190,0.000)"
S-CN-Y,Non-metal,3.138,Indirect,"(0.095,0.095,0.000)-(0.190,0.190,0.000)"
Se-Br-Al,Non-metal,2.4019,Indirect,"(0.000,0.000,0.000)-(0.476,-0.000,0.000)"
Se-Br-Bi,Non-metal,1.491,Indirect,"(0.095,0.095,0.000)-(0.000,0.000,0.000)"
Se-Br-Ce,Non-metal,3.2453000000000003,Indirect,"(0.190,0.143,0.000)-(0.286,0.000,0.000)"
Se-Br-Co,Non-metal,0.8864000000000001,Indirect,"(0.095,0.095,0.000)-(0.286,0.286,0.000)"
Se-Br-Cr,Non-metal,0.9824999999999999,Indirect,"(0.000,0.476,0.000)-(0.476,0.000,0.000)"
Se-Br-Fe,Non-metal,0.005800000000000027,Indirect,"(-0.381,0.190,0.000)-(0.476,0.000,0.000)"
Se-Br-Ga,Non-metal,1.6895000000000002,Indirect,"(0.000,0.000,0.000)-(0.476,0.000,0.000)"
Se-Br-Gd,Non-metal,3.3138999999999994,Indirect,"(0.143,0.143,0.000)-(0.429,-0.000,0.000)"
Se-Br-In,Non-metal,2.0661,Indirect,"(0.000,0.000,0.000)-(0.000,0.476,0.000)"
Se-Br-Ir,Non-metal,1.562,Indirect,"(0.095,0.095,0.000)-(0.333,0.333,0.000)"
Se-Br-La,Non-metal,3.2305,Indirect,"(0.238,0.190,0.000)-(0.286,0.000,0.000)"
Se-Br-Lu,Non-metal,3.1771000000000003,Indirect,"(0.000,0.000,0.000)-(0.476,-0.000,0.000)"
Se-Br-Nd,Non-metal,3.2720000000000002,Indirect,"(0.143,0.143,0.000)-(0.286,0.000,0.000)"
Se-Br-Rh,Non-metal,1.354,Indirect,"(0.095,0.095,0.000)-(0.286,0.286,0.000)"
Se-Br-Ru,Metal,0.0,NA,NA
Se-Br-Sc,Non-metal,2.4935,Indirect,"(0.000,0.000,0.000)-(0.476,0.000,0.000)"
Se-Br-Sm,Non-metal,3.2975000000000003,Indirect,"(0.143,0.143,0.000)-(0.381,0.000,0.000)"
Se-Br-Y,Non-metal,3.2025,Indirect,"(0.000,0.000,0.000)-(0.476,-0.000,0.000)"
Se-Cl-Al,Non-metal,2.3971999999999998,Indirect,"(0.000,0.000,0.000)-(0.476,0.000,0.000)"
Se-Cl-Bi,Non-metal,1.5465,Indirect,"(0.095,0.095,0.000)-(0.000,0.000,0.000)"
Se-Cl-Ce,Non-metal,3.2823,Indirect,"(0.190,0.190,0.000)-(0.476,0.000,0.000)"
Se-Cl-Co,Non-metal,1.0984,Indirect,"(0.095,0.095,0.000)-(0.286,0.286,0.000)"
Se-Cl-Cr,Non-metal,0.6114999999999999,Indirect,"(0.476,0.000,0.000)-(0.476,0.000,0.000)"
Se-Cl-Fe,Metal,0.0,NA,NA
Se-Cl-Ga,Non-metal,1.7071,Indirect,"(0.000,0.000,0.000)-(0.000,0.476,0.000)"
Se-Cl-Gd,Non-metal,3.3848000000000003,Indirect,"(0.190,0.143,-0.000)-(0.476,-0.000,0.000)"
Se-Cl-In,Non-metal,2.1196,Indirect,"(0.000,0.000,0.000)-(0.476,0.000,0.000)"
Se-Cl-Ir,Non-metal,1.8594,Indirect,"(0.095,0.095,0.000)-(0.238,0.000,0.000)"
Se-Cl-La,Non-metal,3.2621,Indirect,"(0.238,0.190,0.000)-(0.238,0.000,0.000)"
Se-Cl-Lu,Non-metal,3.3072,Indirect,"(0.000,0.000,0.000)-(-0.476,0.476,0.000)"
Se-Cl-Nd,Non-metal,3.3358,Indirect,"(0.190,0.190,0.000)-(0.476,0.000,0.000)"
