Compound,Elements,Element_numbers,H_f,E_total,#_atoms
CoI2,"['Co', 'I']","[1, 2]",-0.16972421999999673,-91.06207766,3
CoI2O6,"['Co', 'I', 'O']","[4, 8, 24]",-0.6544386849999992,-533.51048066,36
CoO,"['Co', 'O']","[1, 1]",-1.1772473250000015,-25.71678915,2
CoP,"['Co', 'P']","[4, 4]",-0.533817088750002,-114.72950527,8
CoP2,"['Co', 'P']","[4, 8]",-0.538508100833333,-158.55403433,12
CoP2H8O10,"['Co', 'P', 'H', 'O']","[2, 4, 16, 20]",-1.5892375771428573,-321.1698368,42
CoP2O6,"['Co', 'P', 'O']","[4, 8, 24]",-2.200824348055556,-379.06068165,36
CoP3,"['Co', 'P']","[4, 12]",-0.5262821918749996,-202.14542075,16
CoPH6NO5,"['Co', 'P', 'H', 'N', 'O']","[2, 2, 12, 2, 10]",-1.3295581199999995,-214.02740364,28
CoS2,"['Co', 'S']","[4, 8]",-0.5317298296666687,-152.15392046,12
CoSe2,"['Co', 'Se']","[2, 4]",-0.380675031666667,-116.96071895,6
CoSO4,"['Co', 'S', 'O']","[4, 4, 16]",-1.5255654732500012,-242.40586461,24
CoTe2,"['Co', 'Te']","[1, 2]",-0.3316355433333295,-92.32820663,3
Cr,['Cr'],[2],0.0,-36.76826573,2
Cr23C6,"['Cr', 'C']","[23, 6]",-0.053789213793103155,-484.9506932,29
Cr2N,"['Cr', 'N']","[6, 3]",-0.406756868888888,-141.81643232,9
Cr2O3,"['Cr', 'O']","[4, 6]",-2.6066577379999982,-136.53774438,10
Cr2S3,"['Cr', 'S']","[4, 6]",-1.1277102921999984,-142.5238748,10
Cr2S3O12,"['Cr', 'S', 'O']","[4, 6, 24]",-1.862786790352942,-342.32059075,34
Cr2Se3,"['Cr', 'Se']","[4, 6]",-0.8946124769999984,-202.87802791,10
Cr2TeO6,"['Cr', 'Te', 'O']","[4, 2, 12]",-2.0552296805555557,-258.52686825,18
Cr3C2,"['Cr', 'C']","[12, 8]",-0.08647821350000129,-303.08077227,20
Cr3P,"['Cr', 'P']","[12, 4]",-0.29997375187500097,-267.04174859,16
Cr3P4O14,"['Cr', 'P', 'O']","[6, 8, 28]",-2.5431492926190495,-472.74505341,42
