"Compound","C11","C22","C12","C66"
"NC-NC-Sr",23.94472415,23.9446898,9.78482291,7.07994203
"NC-NC-Zn",51.52095458,51.52092096,23.71525113,13.90284331
"NCO-NCO-Ba",26.77535073,26.77533078,10.3850628,8.19514396
"NCO-NCO-Be",70.13687999,70.1368272,67.7678799,1.18449124
"NCO-NCO-Ca",45.46201233,45.46195414,12.6927837,16.38460461
"NCO-NCO-Cd",48.45512029,48.45508241,18.48430533,14.98540747
"NCO-NCO-Co",6.72799491,6.72799491,86.17290516,-39.72245512
"NCO-NCO-Cu",41.05657327,41.05653677,37.92901871,1.56375902
"NCO-NCO-Fe",72.68340956,72.68335666,24.92943444,23.87696992
"NCO-NCO-Mg",59.65985768,59.65980303,19.97274973,19.84355397
"NCO-NCO-Mn",56.60481147,56.60477524,19.44601607,18.57938864
"NCO-NCO-Ni",-38.775268,-38.775268,122.41201425,-80.59363216
"NCO-NCO-Pb",31.22765886,31.22763844,12.08032735,9.57366575
"NCO-NCO-Pd",8.26921462,8.26921462,33.94492748,-12.83786565
"NCO-NCO-Pt",18.8610703,18.8610703,48.27894166,-14.70893568
"NCO-NCO-Sr",38.5995549,38.5995148,13.45092558,12.57431466
"NCO-NCO-Zn",54.92042542,54.92038899,33.44152362,10.73943268
"NCS-NCS-Ba",26.23775432,26.23773374,6.97704906,9.63034234
"NCS-NCS-Be",-26.37088888,-26.37087,155.56821943,-90.96954471
"NCS-NCS-Ca",44.46795494,44.46791403,10.6413999,16.91327752
"NCS-NCS-Cd",50.23024285,50.23020235,21.07417338,14.5780246
"NCS-NCS-Co",65.83860424,65.83856576,44.76954733,10.53452845
"NCS-NCS-Cu",-1061.01172529,-1061.01108981,1139.99375483,-1100.50258119
"NCS-NCS-Fe",64.92290725,64.92290725,17.46283183,23.7300377
"NCS-NCS-Mg",62.56581615,62.56577663,22.68618904,19.93980367
"NCS-NCS-Mn",77.37740483,77.37738523,36.94948189,20.21397126
"NCS-NCS-Ni",27.27446797,27.27444843,78.09720997,-25.411371
"NCS-NCS-Pb",35.46514832,35.46512695,12.81172378,11.32670158
"NCS-NCS-Pd",24.78242644,24.78240621,47.81164475,-11.51460915
"NCS-NCS-Pt",19.27554189,19.27552232,61.89717697,-21.31081753
"NCS-NCS-Sr",38.26953371,38.26949194,10.5794512,13.84503081
"NCS-NCS-Zn",57.20374704,57.20372738,49.72124472,3.74124132
"NO-NO-Ba",13.51016249,13.51014803,4.83781644,4.33616579
"NO-NO-Be",82.81127496,82.81125837,70.76369122,6.02378357
"NO-NO-Ca",13.38508074,13.38506236,6.73981743,3.32263165
"NO-NO-Cd",2.98785087,2.98785087,23.18231621,-10.0972235
"NO-NO-Co",115.70678551,115.7067514,56.85431044,29.42623753
"NO-NO-Cu",29.7765583,29.7765583,21.73702151,4.01976839
"NO-NO-Fe",132.64277976,132.64276229,64.64105056,34.0008646
"NO-NO-Mg",44.43184171,44.43184171,30.45525135,6.98830414
"NO-NO-Mn",167.88055318,167.88050004,44.65810539,61.61121503
"NO-NO-Ni",85.9690363,85.96898616,43.55922364,21.20488961
"NO-NO-Pb",26.17694918,26.17693012,14.11288345,6.03202333
"NO-NO-Pd",42.12326389,42.12322951,26.92446117,7.59939276
"NO-NO-Pt",66.64817243,66.64817243,34.02730378,16.31044285
"NO-NO-Sr",19.17990526,19.17988691,12.76178051,3.20906237
"NO-NO-Zn",21.9424249,21.9424249,25.47726454,-1.76741981
"OCN-OCN-Ba",22.57997025,22.57995281,5.19851211,8.69072907
"OCN-OCN-Be",54.98201985,54.98201985,73.33828764,-9.17813389
"OCN-OCN-Ca",43.70624449,43.70620863,12.472144,15.61704127
"OCN-OCN-Cd",43.05571958,43.05571958,17.36737025,12.84417466
"OCN-OCN-Co",63.71367117,63.71365365,39.8001295,11.95677083
"OCN-OCN-Cu",49.41669956,49.41664564,36.64568814,6.38549672
"OCN-OCN-Fe",81.09712159,81.09710413,26.16299663,27.46706247
"OCN-OCN-Mg",73.26523867,73.26518563,18.8467178,27.20924275
"OCN-OCN-Mn",55.17898311,55.17898311,32.3354731,11.421755
"OCN-OCN-Ni",57.29077478,57.29073963,40.6425266,8.32412409
"OCN-OCN-Pb",25.57413789,25.57410136,11.61402396,6.9800387
"OCN-OCN-Pd",31.43531166,31.43529381,33.73161113,-1.14814973
"OCN-OCN-Pt",29.62225379,29.62221847,44.28863724,-7.33319172
"OCN-OCN-Sr",35.89627907,35.89624365,12.54398121,11.67613121
"OCN-OCN-Zn",69.25386769,69.25381393,27.32496867,20.9644495
"SCN-SCN-Ba",13.64737862,13.64737862,12.8543959,0.39650154
"SCN-SCN-Be",31.70794626,31.70792602,53.25903279,-10.77554326
"SCN-SCN-Ca",18.62149042,18.62146986,16.05067352,1.28539817
"SCN-SCN-Cd",30.62644158,30.62639884,18.22854736,6.19893642
"SCN-SCN-Co",59.19339545,59.19333541,42.45791609,8.36770966
"SCN-SCN-Cu",15.79133588,15.79133588,32.53317754,-8.37091053
"SCN-SCN-Fe",101.28075287,101.28069356,29.48934459,35.89569425
"SCN-SCN-Mg",37.16040648,37.16036435,19.40026889,8.88006879
