2D,Compounds,E_above_hull
NH-OH-Sm,N,0.0
NH-OH-Sm,NO2,0.0
NH-OH-Sm,O,0.0
NH-OH-Sm,Sm,0.0
NH-OH-Sm,Sm2O3,0.0
NH-OH-Sm,SmH2,0.0
NH-OH-Sm,SmH3,0.04147602083333268
NH-OH-Sm,SmH3O3,0.0
NH-OH-Sm,SmN,0.0
NH-OH-Sm,OH-O-Sm,0.19703443145833077
NH-OH-Sm,NH-OH-Sm,0.28793939849999894
NH-OH-Sm,NH-NO-Sm,0.9275348325000028
NH-OH-Sm,O-NO-Sm,0.7325124306249897
NH-OH-Y,H,0.0
NH-OH-Y,H2O,0.0
NH-OH-Y,H3N,0.12192028812499967
NH-OH-Y,H3NO4,0.0
NH-OH-Y,HNO3,0.0
NH-OH-Y,N,0.0
NH-OH-Y,NO2,0.0
NH-OH-Y,O,0.0
NH-OH-Y,Y,0.0
NH-OH-Y,Y2O3,0.0
NH-OH-Y,Y4H9NO13,0.0
NH-OH-Y,YH2,0.0
NH-OH-Y,YH3,0.04356299958333487
NH-OH-Y,YHO2,0.0
NH-OH-Y,YN,0.0
NH-OH-Y,OH-O-Y,0.21092934250000006
